Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
Tunas do Paraná,4127882,"1,0","4,0",1,4,150
Tuneiras do Oeste,4127908,"24,0","17,0",24,17,-28
Tupãssi,4127957,"1,0","31,0",1,31,1500
Turvo,4127965,"3,0","64,0",3,64,1525
Ubiratã,4128005,"173,0","139,0",173,139,-19.54022989
Umuarama,4128104,"336,0","456,0",336,456,35.60830861
União da Vitória,4128203,"134,0","468,0",134,468,247.4074074
Uniflor,4128302,"4,0","14,0",4,14,200
Uraí,4128401,"24,0","90,0",24,90,264
Wenceslau Braz,4128500,"95,0","96,0",95,96,1.041666667
Ventania,4128534,"40,0","39,0",40,39,-2.43902439
Vera Cruz do Oeste,4128559,"57,0","65,0",57,65,13.79310345
Verê,4128609,"47,0","10,0",47,10,-77.08333333
Alto Paraíso,4128625,"21,0","20,0",21,20,-4.545454545
Doutor Ulysses,4128633,"0,0","15,0",0,15,1500
Virmond,4128658,"8,0","11,0",8,11,33.33333333
Vitorino,4128708,"12,0","45,0",12,45,253.8461538
Xambrê,4128807,"2,0","23,0",2,23,700
Abdon Batista,4200051,"4,0","11,0",4,11,140
Abelardo Luz,4200101,"11,0","51,0",11,51,333.3333333
Agrolândia,4200200,"13,0","81,0",13,81,485.7142857
Agronômica,4200309,"3,0","5,0",3,5,50
Água Doce,4200408,"103,0","47,0",103,47,-53.84615385
Águas de Chapecó,4200507,"10,0","19,0",10,19,81.81818182
Águas Frias,4200556,"2,0","26,0",2,26,800
Águas Mornas,4200606,"6,0","28,0",6,28,314.2857143
Alfredo Wagner,4200705,"9,0","27,0",9,27,180
Alto Bela Vista,4200754,"3,0","6,0",3,6,75
Anchieta,4200804,"5,0","22,0",5,22,283.3333333
Angelina,4200903,"8,0","24,0",8,24,177.7777778
Anita Garibaldi,4201000,"7,0","40,0",7,40,412.5
Anitápolis,4201109,"3,0","32,0",3,32,725
Antônio Carlos,4201208,"12,0","69,0",12,69,438.4615385
Apiúna,4201257,"9,0","30,0",9,30,210
Arabutã,4201273,"13,0","20,0",13,20,50
Araquari,4201307,"21,0","44,0",21,44,104.5454545
Araranguá,4201406,"71,0","235,0",71,235,227.7777778
Armazém,4201505,"0,0","34,0",0,34,3400
Arroio Trinta,4201604,"4,0","9,0",4,9,100
Arvoredo,4201653,"0,0","4,0",0,4,400
Ascurra,4201703,"4,0","55,0",4,55,1020
Atalanta,4201802,"10,0","21,0",10,21,100
Aurora,4201901,"4,0","11,0",4,11,140
Balneário Arroio do Silva,4201950,"8,0","48,0",8,48,444.4444444
Balneário Camboriú,4202008,"272,0","344,0",272,344,26.37362637
Balneário Barra do Sul,4202057,"5,0","33,0",5,33,466.6666667
Balneário Gaivota,4202073,"5,0","34,0",5,34,483.3333333
Bandeirante,4202081,"9,0","45,0",9,45,360
Barra Bonita,4202099,"5,0","3,0",5,3,-33.33333333
Barra Velha,4202107,"7,0","105,0",7,105,1225
Bela Vista do Toldo,4202131,"7,0","18,0",7,18,137.5
Belmonte,4202156,"5,0","6,0",5,6,16.66666667
Benedito Novo,4202206,"2,0","15,0",2,15,433.3333333
Biguaçu,4202305,"48,0","191,0",48,191,291.8367347
Blumenau,4202404,"414,0","1167,0",414,1167,181.4457831
Bocaina do Sul,4202438,"5,0","15,0",5,15,166.6666667
Bombinhas,4202453,"16,0","55,0",16,55,229.4117647
Bom Jardim da Serra,4202503,"2,0","29,0",2,29,900
Bom Jesus,4202537,"3,0","8,0",3,8,125
Bom Jesus do Oeste,4202578,"2,0","9,0",2,9,233.3333333
Bom Retiro,4202602,"4,0","88,0",4,88,1680
Botuverá,4202701,"3,0","24,0",3,24,525
Braço do Norte,4202800,"59,0","150,0",59,150,151.6666667
Braço do Trombudo,4202859,"5,0","18,0",5,18,216.6666667
Brunópolis,4202875,"0,0","14,0",0,14,1400
Brusque,4202909,"159,0","761,0",159,761,376.25
Caçador,4203006,"150,0","655,0",150,655,334.4370861
Caibi,4203105,"10,0","18,0",10,18,72.72727273
Calmon,4203154,"5,0","29,0",5,29,400
Camboriú,4203204,"100,0","265,0",100,265,163.3663366
Capão Alto,4203253,"7,0","8,0",7,8,12.5
Campo Alegre,4203303,"30,0","24,0",30,24,-19.35483871
Campo Belo do Sul,4203402,"14,0","31,0",14,31,113.3333333
Campo Erê,4203501,"15,0","49,0",15,49,212.5
Campos Novos,4203600,"63,0","173,0",63,173,171.875
Canelinha,4203709,"22,0","25,0",22,25,13.04347826
Canoinhas,4203808,"108,0","404,0",108,404,271.559633
Capinzal,4203907,"62,0","78,0",62,78,25.3968254
Capivari de Baixo,4203956,"24,0","115,0",24,115,364
Catanduvas,4204004,"8,0","32,0",8,32,266.6666667
Caxambu do Sul,4204103,"15,0","18,0",15,18,18.75
Celso Ramos,4204152,"6,0","8,0",6,8,28.57142857
Cerro Negro,4204178,"8,0","10,0",8,10,22.22222222
Chapadão do Lageado,4204194,"5,0","11,0",5,11,100
Chapecó,4204202,"360,0","767,0",360,767,112.7423823
Cocal do Sul,4204251,"22,0","111,0",22,111,386.9565217
Concórdia,4204301,"88,0","252,0",88,252,184.2696629
Cordilheira Alta,4204350,"4,0","8,0",4,8,80
Coronel Freitas,4204400,"17,0","50,0",17,50,183.3333333
Coronel Martins,4204459,"11,0","9,0",11,9,-16.66666667
Corupá,4204509,"8,0","50,0",8,50,466.6666667
Correia Pinto,4204558,"7,0","61,0",7,61,675
Criciúma,4204608,"280,0","769,0",280,769,174.0213523
Cunha Porã,4204707,"11,0","82,0",11,82,591.6666667
Cunhataí,4204756,"1,0","8,0",1,8,350
Curitibanos,4204806,"67,0","303,0",67,303,347.0588235
Descanso,4204905,"18,0","28,0",18,28,52.63157895
Dionísio Cerqueira,4205001,"6,0","34,0",6,34,400
Dona Emma,4205100,"9,0","15,0",9,15,60
Doutor Pedrinho,4205159,"3,0","8,0",3,8,125
Entre Rios,4205175,"4,0","5,0",4,5,20
Ermo,4205191,"0,0","16,0",0,16,1600
Erval Velho,4205209,"6,0","6,0",6,6,0
Faxinal dos Guedes,4205308,"23,0","73,0",23,73,208.3333333
Flor do Sertão,4205357,"4,0","9,0",4,9,100
Florianópolis,4205407,"407,0","1280,0",407,1280,213.9705882
Formosa do Sul,4205431,"6,0","11,0",6,11,71.42857143
Forquilhinha,4205456,"71,0","96,0",71,96,34.72222222
Fraiburgo,4205506,"44,0","277,0",44,277,517.7777778
Frei Rogério,4205555,"1,0","17,0",1,17,800
Galvão,4205605,"6,0","20,0",6,20,200
Garopaba,4205704,"11,0","63,0",11,63,433.3333333
Garuva,4205803,"29,0","43,0",29,43,46.66666667
Gaspar,4205902,"64,0","304,0",64,304,369.2307692
Governador Celso Ramos,4206009,"17,0","38,0",17,38,116.6666667
Grão Pará,4206108,"14,0","31,0",14,31,113.3333333
Gravatal,4206207,"8,0","37,0",8,37,322.2222222
Guabiruba,4206306,"13,0","70,0",13,70,407.1428571
Guaraciaba,4206405,"5,0","43,0",5,43,633.3333333
Guaramirim,4206504,"34,0","201,0",34,201,477.1428571
Guarujá do Sul,4206603,"4,0","12,0",4,12,160
Guatambú,4206652,"9,0","17,0",9,17,80
Herval d'Oeste,4206702,"38,0","63,0",38,63,64.1025641
Ibiam,4206751,"1,0","7,0",1,7,300
Ibicaré,4206801,"4,0","11,0",4,11,140
Ibirama,4206900,"26,0","127,0",26,127,374.0740741
Içara,4207007,"187,0","199,0",187,199,6.382978723
Ilhota,4207106,"14,0","80,0",14,80,440
Imaruí,4207205,"9,0","46,0",9,46,370
Imbituba,4207304,"39,0","176,0",39,176,342.5
Imbuia,4207403,"3,0","45,0",3,45,1050
Indaial,4207502,"71,0","308,0",71,308,329.1666667
Iomerê,4207577,"2,0","8,0",2,8,200
Ipira,4207601,"2,0","9,0",2,9,233.3333333
Iporã do Oeste,4207650,"13,0","29,0",13,29,114.2857143
Ipuaçu,4207684,"16,0","31,0",16,31,88.23529412
Ipumirim,4207700,"13,0","15,0",13,15,14.28571429
Iraceminha,4207759,"5,0","27,0",5,27,366.6666667
Irani,4207809,"18,0","124,0",18,124,557.8947368
Irati,4207858,"3,0","9,0",3,9,150
Irineópolis,4207908,"31,0","125,0",31,125,293.75
Itá,4208005,"9,0","23,0",9,23,140
Itaiópolis,4208104,"32,0","99,0",32,99,203.030303
Itajaí,4208203,"634,0","1218,0",634,1218,91.96850394
Itapema,4208302,"49,0","216,0",49,216,334
Itapiranga,4208401,"9,0","31,0",9,31,220
Itapoá,4208450,"40,0","62,0",40,62,53.65853659
Ituporanga,4208500,"33,0","86,0",33,86,155.8823529
Jaborá,4208609,"0,0","7,0",0,7,700
Jacinto Machado,4208708,"22,0","99,0",22,99,334.7826087
Jaguaruna,4208807,"30,0","82,0",30,82,167.7419355
Jaraguá do Sul,4208906,"150,0","451,0",150,451,199.3377483
Jardinópolis,4208955,"3,0","9,0",3,9,150
Joaçaba,4209003,"43,0","126,0",43,126,188.6363636
Joinville,4209102,"838,0","1595,0",838,1595,90.22646007
José Boiteux,4209151,"12,0","24,0",12,24,92.30769231
Jupiá,4209177,"5,0","3,0",5,3,-33.33333333
Lacerdópolis,4209201,"3,0","21,0",3,21,450
Lages,4209300,"271,0","525,0",271,525,93.38235294
Laguna,4209409,"36,0","173,0",36,173,370.2702703
Lajeado Grande,4209458,"0,0","3,0",0,3,300
Laurentino,4209508,"10,0","23,0",10,23,118.1818182
Lauro Muller,4209607,"28,0","48,0",28,48,68.96551724
Lebon Régis,4209706,"17,0","67,0",17,67,277.7777778
Leoberto Leal,4209805,"17,0","10,0",17,10,-38.88888889
Lindóia do Sul,4209854,"8,0","12,0",8,12,44.44444444
Lontras,4209904,"7,0","37,0",7,37,375
Luiz Alves,4210001,"8,0","53,0",8,53,500
Luzerna,4210035,"21,0","16,0",21,16,-22.72727273
Macieira,4210050,"3,0","6,0",3,6,75
Mafra,4210100,"123,0","240,0",123,240,94.35483871
Major Gercino,4210209,"0,0","4,0",0,4,400
Major Vieira,4210308,"18,0","59,0",18,59,215.7894737
Maracajá,4210407,"9,0","25,0",9,25,160
Maravilha,4210506,"12,0","130,0",12,130,907.6923077
Marema,4210555,"5,0","9,0",5,9,66.66666667
Massaranduba,4210605,"14,0","41,0",14,41,180
Matos Costa,4210704,"8,0","26,0",8,26,200
Meleiro,4210803,"6,0","40,0",6,40,485.7142857
Mirim Doce,4210852,"1,0","10,0",1,10,450
Modelo,4210902,"18,0","26,0",18,26,42.10526316
Mondaí,4211009,"9,0","36,0",9,36,270
Monte Carlo,4211058,"27,0","87,0",27,87,214.2857143
Monte Castelo,4211108,"10,0","26,0",10,26,145.4545455
Morro da Fumaça,4211207,"12,0","111,0",12,111,761.5384615
Morro Grande,4211256,"6,0","13,0",6,13,100
Navegantes,4211306,"49,0","343,0",49,343,588
Nova Erechim,4211405,"7,0","20,0",7,20,162.5
Nova Itaberaba,4211454,"2,0","9,0",2,9,233.3333333
Nova Trento,4211504,"24,0","30,0",24,30,24
Nova Veneza,4211603,"20,0","35,0",20,35,71.42857143
Novo Horizonte,4211652,"10,0","10,0",10,10,0
Orleans,4211702,"29,0","65,0",29,65,120
Otacílio Costa,4211751,"11,0","56,0",11,56,375
Ouro,4211801,"9,0","21,0",9,21,120
Ouro Verde,4211850,"3,0","7,0",3,7,100
Paial,4211876,"1,0","5,0",1,5,200
Painel,4211892,"6,0","8,0",6,8,28.57142857
Palhoça,4211900,"165,0","531,0",165,531,220.4819277
Palma Sola,4212007,"9,0","31,0",9,31,220
Palmeira,4212056,"4,0","5,0",4,5,20
Palmitos,4212106,"27,0","40,0",27,40,46.42857143
Papanduva,4212205,"16,0","88,0",16,88,423.5294118
Paraíso,4212239,"3,0","2,0",3,2,-25
Passo de Torres,4212254,"2,0","35,0",2,35,1100
Passos Maia,4212270,"8,0","23,0",8,23,166.6666667
Paulo Lopes,4212304,"6,0","31,0",6,31,357.1428571
Pedras Grandes,4212403,"7,0","18,0",7,18,137.5
Penha,4212502,"16,0","106,0",16,106,529.4117647
Peritiba,4212601,"2,0","9,0",2,9,233.3333333
Pescaria Brava,4212650,,"27,0",#VALUE!,27,#VALUE!
Petrolândia,4212700,"13,0","25,0",13,25,85.71428571
Balneário Piçarras,4212809,"17,0","101,0",17,101,466.6666667
Pinhalzinho,4212908,"27,0","68,0",27,68,146.4285714
Pinheiro Preto,4213005,"2,0","21,0",2,21,633.3333333
Piratuba,4213104,"2,0","22,0",2,22,666.6666667
Planalto Alegre,4213153,"5,0","10,0",5,10,83.33333333
Pomerode,4213203,"227,0","158,0",227,158,-30.26315789
Ponte Alta,4213302,"2,0","19,0",2,19,566.6666667
Ponte Alta do Norte,4213351,"6,0","27,0",6,27,300
Ponte Serrada,4213401,"3,0","61,0",3,61,1450
Porto Belo,4213500,"11,0","72,0",11,72,508.3333333
Porto União,4213609,"50,0","119,0",50,119,135.2941176
Pouso Redondo,4213708,"15,0","62,0",15,62,293.75
Praia Grande,4213807,"2,0","72,0",2,72,2333.333333
Presidente Castello Branco,4213906,"1,0","4,0",1,4,150
Presidente Getúlio,4214003,"12,0","39,0",12,39,207.6923077
Presidente Nereu,4214102,"3,0","6,0",3,6,75
Princesa,4214151,"0,0","20,0",0,20,2000
Quilombo,4214201,"8,0","67,0",8,67,655.5555556
Rancho Queimado,4214300,"8,0","2,0",8,2,-66.66666667
Rio das Antas,4214409,"6,0","44,0",6,44,542.8571429
Rio do Campo,4214508,"7,0","20,0",7,20,162.5
Rio do Oeste,4214607,"5,0","26,0",5,26,350
Rio dos Cedros,4214706,"1,0","40,0",1,40,1950
Rio do Sul,4214805,"97,0","349,0",97,349,257.1428571
Rio Fortuna,4214904,"15,0","23,0",15,23,50
Rio Negrinho,4215000,"68,0","158,0",68,158,130.4347826
Rio Rufino,4215059,"1,0","7,0",1,7,300
Riqueza,4215075,"7,0","29,0",7,29,275
Rodeio,4215109,"15,0","37,0",15,37,137.5
Romelândia,4215208,"6,0","14,0",6,14,114.2857143
Salete,4215307,"11,0","28,0",11,28,141.6666667
Saltinho,4215356,"4,0","8,0",4,8,80
Salto Veloso,4215406,"5,0","15,0",5,15,166.6666667
Sangão,4215455,"14,0","48,0",14,48,226.6666667
Santa Cecília,4215505,"19,0","108,0",19,108,445
Santa Helena,4215554,"1,0","5,0",1,5,200
Santa Rosa de Lima,4215604,"5,0","12,0",5,12,116.6666667
Santa Rosa do Sul,4215653,"27,0","38,0",27,38,39.28571429
Santa Terezinha,4215679,"8,0","14,0",8,14,66.66666667
Santa Terezinha do Progresso,4215687,"11,0","12,0",11,12,8.333333333
Santiago do Sul,4215695,"12,0","3,0",12,3,-69.23076923
Santo Amaro da Imperatriz,4215703,"30,0","66,0",30,66,116.1290323
São Bernardino,4215752,"10,0","7,0",10,7,-27.27272727
São Bento do Sul,4215802,"148,0","206,0",148,206,38.9261745
São Bonifácio,4215901,"2,0","4,0",2,4,66.66666667
São Carlos,4216008,"12,0","27,0",12,27,115.3846154
São Cristovão do Sul,4216057,"9,0","38,0",9,38,290
São Domingos,4216107,"13,0","40,0",13,40,192.8571429
São Francisco do Sul,4216206,"31,0","162,0",31,162,409.375
São João do Oeste,4216255,"4,0","12,0",4,12,160
São João Batista,4216305,"24,0","62,0",24,62,152
São João do Itaperiú,4216354,"2,0","7,0",2,7,166.6666667
São João do Sul,4216404,"17,0","44,0",17,44,150
São Joaquim,4216503,"27,0","51,0",27,51,85.71428571
São José,4216602,"305,0","650,0",305,650,112.745098
São José do Cedro,4216701,"8,0","46,0",8,46,422.2222222
São José do Cerrito,4216800,"19,0","37,0",19,37,90
São Lourenço do Oeste,4216909,"51,0","184,0",51,184,255.7692308
São Ludgero,4217006,"20,0","62,0",20,62,200
São Martinho,4217105,"1,0","8,0",1,8,350
São Miguel da Boa Vista,4217154,"7,0","4,0",7,4,-37.5
São Miguel do Oeste,4217204,"80,0","105,0",80,105,30.86419753
São Pedro de Alcântara,4217253,"1,0","8,0",1,8,350
Saudades,4217303,"2,0","21,0",2,21,633.3333333
Schroeder,4217402,"6,0","44,0",6,44,542.8571429
Seara,4217501,"21,0","40,0",21,40,86.36363636
Serra Alta,4217550,"0,0","7,0",0,7,700
Siderópolis,4217600,"6,0","32,0",6,32,371.4285714
Sombrio,4217709,"37,0","133,0",37,133,252.6315789
Sul Brasil,4217758,"3,0","11,0",3,11,200
Taió,4217808,"12,0","63,0",12,63,392.3076923
Tangará,4217907,"16,0","49,0",16,49,194.1176471
Tigrinhos,4217956,"6,0","6,0",6,6,0
Tijucas,4218004,"29,0","115,0",29,115,286.6666667
Timbé do Sul,4218103,"21,0","57,0",21,57,163.6363636
Timbó,4218202,"43,0","157,0",43,157,259.0909091
Timbó Grande,4218251,"9,0","30,0",9,30,210
Três Barras,4218301,"31,0","143,0",31,143,350
Treviso,4218350,"0,0","9,0",0,9,900
Treze de Maio,4218400,"8,0","31,0",8,31,255.5555556
Treze Tílias,4218509,"19,0","24,0",19,24,25
Trombudo Central,4218608,"1,0","22,0",1,22,1050
Tubarão,4218707,"154,0","367,0",154,367,137.4193548
Tunápolis,4218756,"10,0","12,0",10,12,18.18181818
Turvo,4218806,"11,0","34,0",11,34,191.6666667
União do Oeste,4218855,"2,0","15,0",2,15,433.3333333
Urubici,4218905,"19,0","46,0",19,46,135
Urupema,4218954,"12,0","3,0",12,3,-69.23076923
Urussanga,4219002,"28,0","99,0",28,99,244.8275862
Vargeão,4219101,"7,0","26,0",7,26,237.5
Vargem,4219150,"2,0","6,0",2,6,133.3333333
Vargem Bonita,4219176,"7,0","13,0",7,13,75
Vidal Ramos,4219200,"2,0","20,0",2,20,600
Videira,4219309,"109,0","290,0",109,290,164.5454545
Vitor Meireles,4219358,"3,0","11,0",3,11,200
Witmarsum,4219408,"6,0","23,0",6,23,242.8571429
Xanxerê,4219507,"55,0","185,0",55,185,232.1428571
Xavantina,4219606,"1,0","14,0",1,14,650
Xaxim,4219705,"46,0","77,0",46,77,65.95744681
Zortéa,4219853,"1,0","13,0",1,13,600
Balneário Rincão,4220000,,"102,0",#VALUE!,102,#VALUE!
Aceguá,4300034,"1,0","33,0",1,33,1600
Água Santa,4300059,"2,0","29,0",2,29,900
Agudo,4300109,"35,0","199,0",35,199,455.5555556
Ajuricaba,4300208,"45,0","29,0",45,29,-34.7826087
Alecrim,4300307,"10,0","20,0",10,20,90.90909091
Alegrete,4300406,"115,0","433,0",115,433,274.137931
Alegria,4300455,"33,0","71,0",33,71,111.7647059
Almirante Tamandaré do Sul,4300471,"3,0","9,0",3,9,150
Alpestre,4300505,"6,0","26,0",6,26,285.7142857
Alto Alegre,4300554,"0,0","7,0",0,7,700
Alto Feliz,4300570,"4,0","9,0",4,9,100
Alvorada,4300604,"74,0","1219,0",74,1219,1526.666667
Amaral Ferrador,4300638,"9,0","14,0",9,14,50
Ametista do Sul,4300646,"0,0","20,0",0,20,2000
André da Rocha,4300661,"8,0","6,0",8,6,-22.22222222
Anta Gorda,4300703,"8,0","29,0",8,29,233.3333333
Antônio Prado,4300802,"14,0","31,0",14,31,113.3333333
Arambaré,4300851,"1,0","27,0",1,27,1300
Araricá,4300877,"4,0","27,0",4,27,460
Aratiba,4300901,"14,0","36,0",14,36,146.6666667
Arroio do Meio,4301008,"12,0","79,0",12,79,515.3846154
Arroio do Sal,4301057,"10,0","124,0",10,124,1036.363636
Arroio do Padre,4301073,"12,0","10,0",12,10,-15.38461538
Arroio dos Ratos,4301107,"23,0","77,0",23,77,225
Arroio do Tigre,4301206,"77,0","87,0",77,87,12.82051282
Arroio Grande,4301305,"50,0","336,0",50,336,560.7843137
Arvorezinha,4301404,"5,0","60,0",5,60,916.6666667
Augusto Pestana,4301503,"8,0","30,0",8,30,244.4444444
Áurea,4301552,"5,0","9,0",5,9,66.66666667
Bagé,4301602,"408,0","1036,0",408,1036,153.5452323
Balneário Pinhal,4301636,"16,0","80,0",16,80,376.4705882
Barão,4301651,"21,0","34,0",21,34,59.09090909
Barão de Cotegipe,4301701,"3,0","29,0",3,29,650
Barão do Triunfo,4301750,"13,0","17,0",13,17,28.57142857
Barracão,4301800,"11,0","24,0",11,24,108.3333333
Barra do Guarita,4301859,"3,0","19,0",3,19,400
Barra do Quaraí,4301875,"4,0","26,0",4,26,440
Barra do Ribeiro,4301909,"8,0","61,0",8,61,588.8888889
Barra do Rio Azul,4301925,"0,0","8,0",0,8,800
Barra Funda,4301958,"13,0","28,0",13,28,107.1428571
Barros Cassal,4302006,"11,0","72,0",11,72,508.3333333
Benjamin Constant do Sul,4302055,"2,0","11,0",2,11,300
Bento Gonçalves,4302105,"177,0","448,0",177,448,152.247191
Boa Vista das Missões,4302154,"5,0","8,0",5,8,50
Boa Vista do Buricá,4302204,"2,0","17,0",2,17,500
Boa Vista do Cadeado,4302220,"2,0","5,0",2,5,100
Boa Vista do Incra,4302238,"2,0","10,0",2,10,266.6666667
Boa Vista do Sul,4302253,"2,0","1,0",2,1,-33.33333333
Bom Jesus,4302303,"5,0","48,0",5,48,716.6666667
Bom Princípio,4302352,"11,0","31,0",11,31,166.6666667
Bom Progresso,4302378,"2,0","13,0",2,13,366.6666667
Bom Retiro do Sul,4302402,"87,0","82,0",87,82,-5.681818182
Boqueirão do Leão,4302451,"0,0","66,0",0,66,6600
Bossoroca,4302501,"18,0","86,0",18,86,357.8947368
Bozano,4302584,"2,0","1,0",2,1,-33.33333333
Braga,4302600,"0,0","21,0",0,21,2100
Brochier,4302659,"3,0","14,0",3,14,275
Butiá,4302709,"87,0","113,0",87,113,29.54545455
Caçapava do Sul,4302808,"74,0","392,0",74,392,424
Cacequi,4302907,"10,0","69,0",10,69,536.3636364
Cachoeira do Sul,4303004,"233,0","817,0",233,817,249.5726496
Cachoeirinha,4303103,"100,0","721,0",100,721,614.8514851
Cacique Doble,4303202,"2,0","67,0",2,67,2166.666667
Caibaté,4303301,"0,0","81,0",0,81,8100
Caiçara,4303400,"11,0","35,0",11,35,200
Camaquã,4303509,"87,0","378,0",87,378,330.6818182
Camargo,4303558,"5,0","18,0",5,18,216.6666667
Cambará do Sul,4303608,"2,0","43,0",2,43,1366.666667
Campestre da Serra,4303673,"7,0","14,0",7,14,87.5
Campina das Missões,4303707,"1,0","9,0",1,9,400
Campinas do Sul,4303806,"5,0","43,0",5,43,633.3333333
Campo Bom,4303905,"82,0","762,0",82,762,819.2771084
Campo Novo,4304002,"11,0","37,0",11,37,216.6666667
Campos Borges,4304101,"14,0","38,0",14,38,160
Candelária,4304200,"68,0","212,0",68,212,208.6956522
Cândido Godói,4304309,"4,0","25,0",4,25,420
Candiota,4304358,"36,0","79,0",36,79,116.2162162
Canela,4304408,"37,0","228,0",37,228,502.6315789
Canguçu,4304507,"65,0","392,0",65,392,495.4545455
Canoas,4304606,"435,0","2099,0",435,2099,381.6513761
Canudos do Vale,4304614,"5,0","2,0",5,2,-50
Capão Bonito do Sul,4304622,"11,0","10,0",11,10,-8.333333333
Capão da Canoa,4304630,"17,0","341,0",17,341,1800
Capão do Cipó,4304655,"11,0","41,0",11,41,250
Capão do Leão,4304663,"23,0","226,0",23,226,845.8333333
Capivari do Sul,4304671,"5,0","27,0",5,27,366.6666667
Capela de Santana,4304689,"4,0","22,0",4,22,360
Capitão,4304697,"3,0","12,0",3,12,225
Carazinho,4304705,"594,0","304,0",594,304,-48.7394958
Caraá,4304713,"4,0","14,0",4,14,200
Carlos Barbosa,4304804,"21,0","80,0",21,80,268.1818182
Carlos Gomes,4304853,"3,0","12,0",3,12,225
Casca,4304903,"10,0","48,0",10,48,345.4545455
Caseiros,4304952,"6,0","9,0",6,9,42.85714286
Catuípe,4305009,"16,0","93,0",16,93,452.9411765
Caxias do Sul,4305108,"239,0","1736,0",239,1736,623.75
Centenário,4305116,"3,0","17,0",3,17,350
Cerrito,4305124,"31,0","102,0",31,102,221.875
Cerro Branco,4305132,"9,0","43,0",9,43,340
Cerro Grande,4305157,"5,0","29,0",5,29,400
Cerro Grande do Sul,4305173,"2,0","42,0",2,42,1333.333333
Cerro Largo,4305207,"20,0","57,0",20,57,176.1904762
Chapada,4305306,"11,0","35,0",11,35,200
Charqueadas,4305355,"43,0","160,0",43,160,265.9090909
Charrua,4305371,"2,0","6,0",2,6,133.3333333
Chiapetta,4305405,"0,0","13,0",0,13,1300
Chuí,4305439,"0,0","28,0",0,28,2800
Chuvisca,4305447,"7,0","30,0",7,30,287.5
Cidreira,4305454,"5,0","89,0",5,89,1400
Ciríaco,4305504,"10,0","24,0",10,24,127.2727273
Colinas,4305587,"0,0","15,0",0,15,1500
Colorado,4305603,"0,0","15,0",0,15,1500
Condor,4305702,"3,0","20,0",3,20,425
Constantina,4305801,"0,0","22,0",0,22,2200
Coqueiro Baixo,4305835,"0,0","9,0",0,9,900
Coqueiros do Sul,4305850,"3,0","13,0",3,13,250
Coronel Barros,4305871,"2,0","7,0",2,7,166.6666667
Coronel Bicaco,4305900,"4,0","39,0",4,39,700
Coronel Pilar,4305934,"1,0","1,0",1,1,0
Cotiporã,4305959,"1,0","22,0",1,22,1050
Coxilha,4305975,"9,0","63,0",9,63,540
Crissiumal,4306007,"16,0","88,0",16,88,423.5294118
Cristal,4306056,"18,0","73,0",18,73,289.4736842
Cristal do Sul,4306072,"0,0","9,0",0,9,900
Cruz Alta,4306106,"80,0","491,0",80,491,507.4074074
Cruzaltense,4306130,"1,0","0,0",1,0,-50
Cruzeiro do Sul,4306205,"13,0","30,0",13,30,121.4285714
David Canabarro,4306304,"10,0","23,0",10,23,118.1818182
Derrubadas,4306320,"5,0","10,0",5,10,83.33333333
Dezesseis de Novembro,4306353,"15,0","41,0",15,41,162.5
Dilermando de Aguiar,4306379,"0,0","16,0",0,16,1600
Dois Irmãos,4306403,"38,0","78,0",38,78,102.5641026
Dois Irmãos das Missões,4306429,"5,0","3,0",5,3,-33.33333333
Dois Lajeados,4306452,"13,0","11,0",13,11,-14.28571429
Dom Feliciano,4306502,"4,0","78,0",4,78,1480
Dom Pedro de Alcântara,4306551,"3,0","9,0",3,9,150
Dom Pedrito,4306601,"37,0","243,0",37,243,542.1052632
Dona Francisca,4306700,"6,0","37,0",6,37,442.8571429
Doutor Maurício Cardoso,4306734,"2,0","9,0",2,9,233.3333333
Doutor Ricardo,4306759,"3,0","7,0",3,7,100
Eldorado do Sul,4306767,"95,0","265,0",95,265,177.0833333
Encantado,4306809,"11,0","86,0",11,86,625
Encruzilhada do Sul,4306908,"33,0","301,0",33,301,788.2352941
Engenho Velho,4306924,"1,0","2,0",1,2,50
Entre-Ijuís,4306932,"7,0","54,0",7,54,587.5
Entre Rios do Sul,4306957,"36,0","45,0",36,45,24.32432432
Erebango,4306973,"0,0","3,0",0,3,300
Erechim,4307005,"352,0","662,0",352,662,87.81869688
Ernestina,4307054,"8,0","13,0",8,13,55.55555556
Herval,4307104,"3,0","30,0",3,30,675
Erval Grande,4307203,"5,0","43,0",5,43,633.3333333
Erval Seco,4307302,"18,0","45,0",18,45,142.1052632
Esmeralda,4307401,"7,0","11,0",7,11,50
Esperança do Sul,4307450,"3,0","9,0",3,9,150
Espumoso,4307500,"21,0","82,0",21,82,277.2727273
Estação,4307559,"14,0","16,0",14,16,13.33333333
Estância Velha,4307609,"64,0","212,0",64,212,227.6923077
Esteio,4307708,"145,0","269,0",145,269,84.93150685
Estrela,4307807,"39,0","154,0",39,154,287.5
Estrela Velha,4307815,"16,0","43,0",16,43,158.8235294
Eugênio de Castro,4307831,"6,0","49,0",6,49,614.2857143
Fagundes Varela,4307864,"0,0","8,0",0,8,800
Farroupilha,4307906,"121,0","353,0",121,353,190.1639344
Faxinal do Soturno,4308003,"44,0","60,0",44,60,35.55555556
Faxinalzinho,4308052,"1,0","6,0",1,6,250
Fazenda Vilanova,4308078,"6,0","30,0",6,30,342.8571429
