Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
São Domingos do Capim,1507201,"22,0","109,0",22,109,378.2608696
São Félix do Xingu,1507300,"18,0","301,0",18,301,1489.473684
São Francisco do Pará,1507409,"20,0","29,0",20,29,42.85714286
São Geraldo do Araguaia,1507458,"48,0","80,0",48,80,65.30612245
São João da Ponta,1507466,"5,0","44,0",5,44,650
São João de Pirabas,1507474,"3,0","134,0",3,134,3275
São João do Araguaia,1507508,"23,0","45,0",23,45,91.66666667
São Miguel do Guamá,1507607,"35,0","502,0",35,502,1297.222222
São Sebastião da Boa Vista,1507706,"29,0","90,0",29,90,203.3333333
Sapucaia,1507755,"21,0","53,0",21,53,145.4545455
Senador José Porfírio,1507805,"22,0","77,0",22,77,239.1304348
Soure,1507904,"47,0","91,0",47,91,91.66666667
Tailândia,1507953,"65,0","262,0",65,262,298.4848485
Terra Alta,1507961,"9,0","10,0",9,10,10
Terra Santa,1507979,"69,0","104,0",69,104,50
Tomé-Açu,1508001,"24,0","401,0",24,401,1508
Tracuateua,1508035,"45,0","163,0",45,163,256.5217391
Trairão,1508050,"1,0","67,0",1,67,3300
Tucumã,1508084,"5,0","112,0",5,112,1783.333333
Tucuruí,1508100,"185,0","544,0",185,544,193.0107527
Ulianópolis,1508126,"39,0","361,0",39,361,805
Uruará,1508159,"3,0","106,0",3,106,2575
Vigia,1508209,"13,0","177,0",13,177,1171.428571
Viseu,1508308,"5,0","159,0",5,159,2566.666667
Vitória do Xingu,1508357,"5,0","86,0",5,86,1350
Xinguara,1508407,"70,0","135,0",70,135,91.54929577
Serra do Navio,1600055,"5,0","34,0",5,34,483.3333333
Amapá,1600105,"4,0","31,0",4,31,540
Pedra Branca do Amaparí,1600154,"18,0","34,0",18,34,84.21052632
Calçoene,1600204,"18,0","45,0",18,45,142.1052632
Cutias,1600212,"14,0","25,0",14,25,73.33333333
Ferreira Gomes,1600238,"11,0","86,0",11,86,625
Itaubal,1600253,"21,0","24,0",21,24,13.63636364
Laranjal do Jari,1600279,"65,0","311,0",65,311,372.7272727
Macapá,1600303,"639,0","2373,0",639,2373,270.9375
Mazagão,1600402,"13,0","119,0",13,119,757.1428571
Oiapoque,1600501,"43,0","112,0",43,112,156.8181818
Porto Grande,1600535,"10,0","127,0",10,127,1063.636364
Pracuúba,1600550,"6,0","26,0",6,26,285.7142857
Santana,1600600,"194,0","725,0",194,725,272.3076923
Tartarugalzinho,1600709,"34,0","74,0",34,74,114.2857143
Vitória do Jari,1600808,"41,0","103,0",41,103,147.6190476
Abreulândia,1700251,"5,0","6,0",5,6,16.66666667
Aguiarnópolis,1700301,"1,0","18,0",1,18,850
Aliança do Tocantins,1700350,"11,0","35,0",11,35,200
Almas,1700400,"19,0","32,0",19,32,65
Alvorada,1700707,"22,0","52,0",22,52,130.4347826
Ananás,1701002,"11,0","39,0",11,39,233.3333333
Angico,1701051,"11,0","32,0",11,32,175
Aparecida do Rio Negro,1701101,"24,0","68,0",24,68,176
Aragominas,1701309,"13,0","30,0",13,30,121.4285714
Araguacema,1701903,"28,0","38,0",28,38,34.48275862
Araguaçu,1702000,"32,0","71,0",32,71,118.1818182
Araguaína,1702109,"857,0","1194,0",857,1194,39.27738928
Araguanã,1702158,"17,0","17,0",17,17,0
Araguatins,1702208,"42,0","247,0",42,247,476.744186
Arapoema,1702307,"23,0","50,0",23,50,112.5
Arraias,1702406,"39,0","179,0",39,179,350
Augustinópolis,1702554,"27,0","184,0",27,184,560.7142857
Aurora do Tocantins,1702703,"7,0","21,0",7,21,175
Axixá do Tocantins,1702901,"109,0","122,0",109,122,11.81818182
Babaçulândia,1703008,"26,0","55,0",26,55,107.4074074
Bandeirantes do Tocantins,1703057,"10,0","39,0",10,39,263.6363636
Barra do Ouro,1703073,"3,0","9,0",3,9,150
Barrolândia,1703107,"6,0","17,0",6,17,157.1428571
Bernardo Sayão,1703206,"5,0","34,0",5,34,483.3333333
Bom Jesus do Tocantins,1703305,"0,0","22,0",0,22,2200
Brasilândia do Tocantins,1703602,"3,0","2,0",3,2,-25
Brejinho de Nazaré,1703701,"19,0","41,0",19,41,110
Buriti do Tocantins,1703800,"17,0","66,0",17,66,272.2222222
Cachoeirinha,1703826,"4,0","8,0",4,8,80
Campos Lindos,1703842,"45,0","70,0",45,70,54.34782609
Cariri do Tocantins,1703867,"3,0","22,0",3,22,475
Carmolândia,1703883,"2,0","14,0",2,14,400
Carrasco Bonito,1703891,"3,0","29,0",3,29,650
Caseara,1703909,"0,0","10,0",0,10,1000
Centenário,1704105,"1,0","7,0",1,7,300
Chapada de Areia,1704600,"0,0","15,0",0,15,1500
Chapada da Natividade,1705102,"1,0","13,0",1,13,600
Colinas do Tocantins,1705508,"46,0","422,0",46,422,800
Combinado,1705557,"20,0","43,0",20,43,109.5238095
Conceição do Tocantins,1705607,"10,0","27,0",10,27,154.5454545
Couto Magalhães,1706001,"15,0","35,0",15,35,125
Cristalândia,1706100,"45,0","46,0",45,46,2.173913043
Crixás do Tocantins,1706258,"1,0","11,0",1,11,500
Darcinópolis,1706506,"2,0","40,0",2,40,1266.666667
Dianópolis,1707009,"24,0","159,0",24,159,540
Divinópolis do Tocantins,1707108,"6,0","12,0",6,12,85.71428571
Dois Irmãos do Tocantins,1707207,"12,0","34,0",12,34,169.2307692
Dueré,1707306,"5,0","39,0",5,39,566.6666667
Esperantina,1707405,"25,0","53,0",25,53,107.6923077
Fátima,1707553,"4,0","18,0",4,18,280
Figueirópolis,1707652,"34,0","60,0",34,60,74.28571429
Filadélfia,1707702,"34,0","80,0",34,80,131.4285714
Formoso do Araguaia,1708205,"39,0","109,0",39,109,175
Fortaleza do Tabocão,1708254,"22,0","35,0",22,35,56.52173913
Goianorte,1708304,"11,0","90,0",11,90,658.3333333
Goiatins,1709005,"12,0","125,0",12,125,869.2307692
Guaraí,1709302,"64,0","235,0",64,235,263.0769231
Gurupi,1709500,"212,0","418,0",212,418,96.71361502
Ipueiras,1709807,"6,0","2,0",6,2,-57.14285714
Itacajá,1710508,"8,0","23,0",8,23,166.6666667
Itaguatins,1710706,"1,0","9,0",1,9,400
Itapiratins,1710904,"10,0","19,0",10,19,81.81818182
Itaporã do Tocantins,1711100,"7,0","19,0",7,19,150
Jaú do Tocantins,1711506,"1,0","21,0",1,21,1000
Juarina,1711803,"5,0","8,0",5,8,50
Lagoa da Confusão,1711902,"6,0","37,0",6,37,442.8571429
Lagoa do Tocantins,1711951,"36,0","12,0",36,12,-64.86486486
Lajeado,1712009,"1,0","54,0",1,54,2650
Lavandeira,1712157,"4,0","25,0",4,25,420
Lizarda,1712405,"26,0","36,0",26,36,37.03703704
Luzinópolis,1712454,"0,0","7,0",0,7,700
Marianópolis do Tocantins,1712504,"21,0","16,0",21,16,-22.72727273
Mateiros,1712702,"0,0","13,0",0,13,1300
Maurilândia do Tocantins,1712801,"0,0","28,0",0,28,2800
Miracema do Tocantins,1713205,"77,0","178,0",77,178,129.4871795
Miranorte,1713304,"17,0","55,0",17,55,211.1111111
Monte do Carmo,1713601,"11,0","47,0",11,47,300
Monte Santo do Tocantins,1713700,"0,0","3,0",0,3,300
Palmeiras do Tocantins,1713809,"10,0","28,0",10,28,163.6363636
Muricilândia,1713957,"9,0","23,0",9,23,140
Natividade,1714203,"21,0","39,0",21,39,81.81818182
Nazaré,1714302,"40,0","83,0",40,83,104.8780488
Nova Olinda,1714880,"7,0","60,0",7,60,662.5
Nova Rosalândia,1715002,"4,0","7,0",4,7,60
Novo Acordo,1715101,"31,0","61,0",31,61,93.75
Novo Alegre,1715150,"11,0","50,0",11,50,325
Novo Jardim,1715259,"2,0","7,0",2,7,166.6666667
Oliveira de Fátima,1715507,"1,0","2,0",1,2,50
Palmeirante,1715705,"15,0","21,0",15,21,37.5
Palmeirópolis,1715754,"22,0","51,0",22,51,126.0869565
Paraíso do Tocantins,1716109,"50,0","133,0",50,133,162.745098
Paranã,1716208,"13,0","46,0",13,46,235.7142857
Pau d'Arco,1716307,"13,0","46,0",13,46,235.7142857
Pedro Afonso,1716505,"17,0","54,0",17,54,205.5555556
Peixe,1716604,"27,0","59,0",27,59,114.2857143
Pequizeiro,1716653,"7,0","104,0",7,104,1212.5
Colméia,1716703,"25,0","85,0",25,85,230.7692308
Pindorama do Tocantins,1717008,"6,0","24,0",6,24,257.1428571
Piraquê,1717206,"4,0","8,0",4,8,80
Pium,1717503,"4,0","34,0",4,34,600
Ponte Alta do Bom Jesus,1717800,"4,0","14,0",4,14,200
Ponte Alta do Tocantins,1717909,"6,0","19,0",6,19,185.7142857
Porto Alegre do Tocantins,1718006,"0,0","22,0",0,22,2200
Porto Nacional,1718204,"104,0","414,0",104,414,295.2380952
Praia Norte,1718303,"10,0","35,0",10,35,227.2727273
Presidente Kennedy,1718402,"18,0","20,0",18,20,10.52631579
Pugmil,1718451,"3,0","5,0",3,5,50
Recursolândia,1718501,"9,0","13,0",9,13,40
Riachinho,1718550,"4,0","47,0",4,47,860
Rio da Conceição,1718659,"0,0","8,0",0,8,800
Rio dos Bois,1718709,"5,0","18,0",5,18,216.6666667
